Part Number,Description,Cost per Unit,Notes,MECO Part Number,Manufacturer,Vendor,In Stock,Update,UL File Number,UL CCN,Related Panel Details,Related Job Parts Lists,Label
10374CC,"PANEL,INSTRUMENT,MASTERPAK ULTRA 4
REF DWG # 10374CC",$155.00 ,,10374IPNL,,,,,,,NrWhAeEAao4PAoYeBl3vG3,"2RCDWc-oLt4cqKeR4q80t8 , 2gcZXsIy2c4-a-hFhtstva",MECO 10374IPNL
30 530 029,"MONITOR,CONDUCTIVITY,100-240VAC/50-60HZ,20-30VDC,
4 CHANNELS,ETHERNET/IP,
ETHERNET OUTPUT,COLOR TOUCH SCREEN

NOTE TO VENDOR: TO PROVIDE CALIBRATION CERTIFICATE

METTLER TOLEDO MODEL M800,#30 530 029

NOTE TO MECO: MUST CALL OUT 2205046001 (PANEL MOUNT) WITH THIS ITEM

NOTE TO MECO: MUST USE ISM PROBE","$5,266.00 ",,2854342000,,,,,E480774,PICQ7,"MG2gVd_uK84-ecUa1uNYk9 , GWXzs1J8Ho4ciOwjIkrPw3","IMrfWWhikj4zQ31Lygubxf , IAOcqPQSc340UAzw6gcfLa",MECO 2854342000
10374PNEUV-ITAGS,"NAMETAG SET,MP VALVES & INSTRUMENTS,00.063""THK
2-PLY MATTE,PHENOLIC TYPE,WHITE BACKGROUND,BEVEL EDGE
TEXT PER DWG # 10374PNEUV-ITAGS",$0.00 ,,10374PNEUV-ITAGS,,,,,,,Pfhmpu15ds436KtSx-yfM0,"ddPvCWAh6c4G23FpP3gFFd , 9Kb3WHKMen4Q226a-MkYmf",MECO 10374PNEUV-ITAGS
,"MANIFOLD,VALVE, SOLENOID,MPA-S WITH CPX TERMINAL
(12)TOTAL STATIONS WITH (12) 2X 3/2 NORMALLY CLOSED SOLENOIDS
ETHERNET COMMUNICATION,WITH POWER CONNECTOR
24VDC,TWIST MANUAL OVERRIDE,WALL MOUNTED,0.250"" OD
WORKING PORTS,G1/4 THREADED SUPPLY PORT.

FESTO 50E-F36GCQS-D+UN 32P-SND-R-M3A-12K","$3,921.09 ",,2610048000,,,,,E239998,NRAQ7,"ilK6yUfYMC4WqQn9oYjFP9 , sT2ynVJBhq41yLcFTTGAQ3",#NAME?,MECO 2610048000
10374CC,"PANEL,DISCONNECT,MASTERPAK ULTRA 4
REF DWG # 10374CC
(QC ONLY PRINT CC UPON REQUEST FROM MFG)",$0.00 ,,10374MCC,,,,,,,6BxXUR244c4VaU_9JzyHj4,"6YomKM4LkW4rU8UWL_T890 , 8eXdiy05cr40uDHL5Gj488",MECO 10374MCC
,"NAMETAG,01.000"" X 02.500"",2-PLY,00.062""THK,
WHITE WITH BLACK CORE,BEVEL EDGE

TAG TO READ: MULTI-PARAMETER METER (M300)

SCOT-GRAV OR EQUAL

NO DRAWING REQUIRED",$9.00 ,,3102826003,,,,,,,#NAME?,"D-X77fLGeC41Eaufi7VS4b , a1_GdiskWe4JA66wD9hpr5",MECO 3102826003
10374MCCTAG,"NAMETAG,MOTOR CONTROL PANEL,00.063""THK,
2-PLY MATTE,PHENOLIC TYPE,WHITE BACKGROUND,
BLACK LETTERING,WITH ADHESIVE FOR PERMANENT ATTACHMENT
TEXT PER DWG # 10374MCCTAG",$0.00 ,,10374MCCTAG,,,,,,,BwVdPDwkRx4yISYUIa_2v9,"RE1BPzNWw64jQ61f34H_E8 , XyvJfHEEFX4XAnm5O_x9be",MECO 10374MCCTAG
12AWG TYPE THHN (,"WIRE,#12AWG,YELLOW,STRANDED
TYPE THHN (#12AWG YELLOW)",$0.40 ,,2808569000,,,,,,,"3RwFzgaiBN4qIIIUww34Sc , Ezq8FuMHb04k6aiOwPQI38 , JDeTTyV80D4oMRusgxzBjc , p_64x779Yc4lEWtBv1dnJd","AuBenvmE934dE-3-fiF25e , eCoXe_Qrtc4wisJtSlIIt0 , JxjjAl1dcA4wIfCNDhE-_5",MECO 2808569000
10AWG TYPE THHN (,"WIRE,# 10AWG,GREEN/YELLOW
TYPE THHN (# 10AWG GREEN/YELLOW)",$0.60 ,,2852416000,,,,,,,"ILLp_ZvbmN4LugrnfGRhb4 , lI1VIA6rdi4A6OMAYVh_7b , 74YxqCHzed4yAJwWs-hhU7 , KBMUqQsZoK4pQSwdOhOAM7","VbgNjoQzz34A6MO-5QF7b9 , hUpn4hJ5zT4h2_xguDli85 , 120VhgCew44yaXu3AHenv0 , kVgvwBc44L4leGBv3ulGf9",MECO 2852416000
14AWG TYPE THHN (,"WIRE,#14AWG,BROWN",,"WIRE,#14AWG,BROWN,STRANDED
TYPE THHN (#14AWG BROWN)",2807247000,,,,,,,xWx3GaimKr4X2LSSevfdC0,,MECO 2807247000
